"Business Name","Slug","NFC URL","Google Review URL"
"Wave Hair Studio","wave-hair-studio","https://connorgorman.ca/r/wave-hair-studio","https://search.google.com/local/writereview?placeid=ChIJ5RZNURir0kwRWmBD7Jg0VAo"
"ActiveHealth Massage Therapy","activehealth-massage-therapy","https://connorgorman.ca/r/activehealth-massage-therapy","https://search.google.com/local/writereview?placeid=ChIJb0Bb53es0kwRT_vA-u06MrI"
"Aesthetics By Arza - located 5-663 Norris CT ,Kingston ON","aesthetics-by-arza-located-5-663-norris-ct-kingston-on","https://connorgorman.ca/r/aesthetics-by-arza-located-5-663-norris-ct-kingston-on","https://search.google.com/local/writereview?placeid=ChIJx_Jj21yt0kwRMQ8ovoFCAaQ"
"Aphrodite Hair Studio","aphrodite-hair-studio","https://connorgorman.ca/r/aphrodite-hair-studio","https://search.google.com/local/writereview?placeid=ChIJI55UGfSr0kwRtsyR0uyopeU"
"Axiom Wellness Centre","axiom-wellness-centre","https://connorgorman.ca/r/axiom-wellness-centre","https://search.google.com/local/writereview?placeid=ChIJLRoADJGt0kwRHCNTJZq7rzU"
"Better Balance Wellness","better-balance-wellness","https://connorgorman.ca/r/better-balance-wellness","https://search.google.com/local/writereview?placeid=ChIJuzX5lECr0kwRbhTZPuJKNRk"
"Brushez Hair Studio","brushez-hair-studio","https://connorgorman.ca/r/brushez-hair-studio","https://search.google.com/local/writereview?placeid=ChIJT-nuhLOt0kwR3uC2KyArtRQ"
"Centre Wellness","centre-wellness","https://connorgorman.ca/r/centre-wellness","https://search.google.com/local/writereview?placeid=ChIJ35UWAuUKN0URnXeaZz5KRuI"
"Cheryl Hiebert Wellness","cheryl-hiebert-wellness","https://connorgorman.ca/r/cheryl-hiebert-wellness","https://search.google.com/local/writereview?placeid=ChIJ13UMXBet0kwRac8iSMBJfik"
"Chic Hair & Esthetics Centre","chic-hair-esthetics-centre","https://connorgorman.ca/r/chic-hair-esthetics-centre","https://search.google.com/local/writereview?placeid=ChIJO1d1N_-q0kwR2GBzmALGF0c"
"Children's Wellness Centre","childrens-wellness-centre","https://connorgorman.ca/r/childrens-wellness-centre","https://search.google.com/local/writereview?placeid=ChIJy-q4RpdebYARFi8vaJ_VxJk"
"Evergreen Health Collective","evergreen-health-collective","https://connorgorman.ca/r/evergreen-health-collective","https://search.google.com/local/writereview?placeid=ChIJUw9Aveit0kwRFxuEpALfE2s"
"FAM Medical Aesthetics","fam-medical-aesthetics","https://connorgorman.ca/r/fam-medical-aesthetics","https://search.google.com/local/writereview?placeid=ChIJ3dPL4aGt0kwRely19hXpCzY"
"Greenhaven Massage Therapy","greenhaven-massage-therapy","https://connorgorman.ca/r/greenhaven-massage-therapy","https://search.google.com/local/writereview?placeid=ChIJWXp2Evys0kwRTOnIe8HSbxU"
"Hair of the Dog Barber & Pub","hair-of-the-dog-barber-pub","https://connorgorman.ca/r/hair-of-the-dog-barber-pub","https://search.google.com/local/writereview?placeid=ChIJsWNvXM-r0kwRANsw5OOp-AE"
